retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
110.0,9.0,3.0,4.709530201312334,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,100.93181818181819,16.367753168430113,100.0,97.45454545454545,28.875439625815524,91.0,88.0,0.7649221637506176,0.6253161952583919,1.0898446295879305,Jordan,1 low,none,Women,103.0
110.0,4.0,2.0,4.709530201312334,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,100.93181818181819,16.367753168430113,100.0,97.45454545454545,28.875439625815524,91.0,88.0,0.7649221637506176,0.6253161952583919,1.0898446295879305,Jordan,1 low,none,Women,100.0
115.0,5.0,2.0,4.7535901911063645,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,123.6842105263158,26.501682612365386,115.0,101.89473684210526,44.35074186632696,93.0,19.0,0.7833972427844991,0.5813771231441943,0.9297872340425531,Nike,dunk high,none,Women,169.0
160.0,1.0,1.0,5.081404364984463,0,0,0,137.4869109947644,41.30398969371303,130.0,171.01570680628274,96.22273921205674,143.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,1.1637471439451637,0.8594401987903793,0.9944751381215469,ASICS,Other,none,Men,156.0
120.0,2.0,1.0,4.795790545596741,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,114.98529411764706,14.315728378838475,120.0,103.76470588235294,36.52196952686368,95.5,68.0,0.8091647331786542,0.672032483290539,1.043611715053076,New Balance,550,none,Men,68.0
120.0,5.0,2.0,4.795790545596741,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,126.66666666666667,8.164965809277259,125.0,98.53333333333333,18.137832075001477,95.0,15.0,0.8174579924707817,0.5621980844399196,0.9473684210526315,Nike,dunk low lx,none,Women,85.0
85.0,5.0,2.0,4.454347296253507,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,108.94495412844037,23.832880073095055,110.0,104.16055045871559,44.49508753157074,94.5,218.0,0.5790327446668037,0.5943050941349544,0.7802105263157895,Nike,dunk low,none,GS,91.0
130.0,8.0,3.0,4.875197323201151,0,0,0,137.4869109947644,41.30398969371303,130.0,171.01570680628274,96.22273921205674,143.0,122.3076923076923,4.385290096535146,120.0,129.3846153846154,9.699986782967468,130.0,13.0,0.9455445544554455,0.7565656851108724,1.0628930817610063,ASICS,onitsuka tiger mexico 66,none,Men,148.0
95.0,9.0,3.0,4.564348191467836,0,0,0,137.4869109947644,41.30398969371303,130.0,171.01570680628274,96.22273921205674,143.0,96.85185185185185,17.73218734967723,95.0,126.12962962962963,46.83574118865235,108.5,54.0,0.690974866717441,0.7375324289511161,0.9808795411089867,ASICS,gel-1130,none,Men,121.0
110.0,7.0,3.0,4.709530201312334,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,108.94495412844037,23.832880073095055,110.0,104.16055045871559,44.49508753157074,94.5,218.0,0.7493364930982165,0.5943050941349544,1.0096842105263157,Nike,dunk low,none,Women,102.0
